# [Syllable ID]\t[Bopomofo]\t[Pinyin]\t[Phones]
ㄓ	zhi
ㄔ	chi
ㄕ	shi
ㄖ	ri
ㄗ	zi
ㄘ	ci
ㄙ	si
ㄚ	a
ㄓㄚ	zha
ㄔㄚ	cha
ㄕㄚ	sha
ㄗㄚ	za
ㄘㄚ	ca
ㄙㄚ	sa
ㄍㄚ	ga
ㄎㄚ	ka
ㄏㄚ	ha
ㄉㄚ	da
ㄊㄚ	ta
ㄋㄚ	na
ㄌㄚ	la
ㄅㄚ	ba
ㄆㄚ	pa
ㄇㄚ	ma
ㄈㄚ	fa
ㄛ	o
ㄌㄛ	lo
ㄅㄛ	bo
ㄆㄛ	po
ㄇㄛ	mo
ㄈㄛ	fo
ㄜ	e#
ㄓㄜ	zhe
ㄔㄜ	che
ㄕㄜ	she
ㄖㄜ	re
ㄗㄜ	ze
ㄘㄜ	ce
ㄙㄜ	se
ㄍㄜ	ge
ㄎㄜ	ke
ㄏㄜ	he
ㄉㄜ	de
ㄊㄜ	te
ㄋㄜ	ne
ㄌㄜ	le
ㄞ	ai
ㄓㄞ	zhai
ㄔㄞ	chai
ㄕㄞ	shai
ㄗㄞ	zai
ㄘㄞ	cai
ㄙㄞ	sai
ㄍㄞ	gai
ㄎㄞ	kai
ㄏㄞ	hai
ㄉㄞ	dai
ㄊㄞ	tai
ㄋㄞ	nai
ㄌㄞ	lai
ㄅㄞ	bai
ㄆㄞ	pai
ㄇㄞ	mai
ㄝ	e
ㄓㄟ	zhei
ㄕㄟ	shei
ㄗㄟ	zei
ㄙㄟ	sei
ㄍㄟ	gei
ㄏㄟ	hei
ㄉㄟ	dei
ㄋㄟ	nei
ㄌㄟ	lei
ㄅㄟ	bei
ㄆㄟ	pei
ㄇㄟ	mei
ㄈㄟ	fei
ㄠ	ao
ㄓㄠ	zhao
ㄔㄠ	chao
ㄕㄠ	shao
ㄖㄠ	rao
ㄗㄠ	zao
ㄘㄠ	cao
ㄙㄠ	sao
ㄍㄠ	gao
ㄎㄠ	kao
ㄏㄠ	hao
ㄉㄠ	dao
ㄊㄠ	tao
ㄋㄠ	nao
ㄌㄠ	lao
ㄅㄠ	bao
ㄆㄠ	pao
ㄇㄠ	mao
ㄡ	ou
ㄓㄡ	zhou
ㄔㄡ	chou
ㄕㄡ	shou
ㄖㄡ	rou
ㄗㄡ	zou
ㄘㄡ	cou
ㄙㄡ	sou
ㄍㄡ	gou
ㄎㄡ	kou
ㄏㄡ	hou
ㄉㄡ	dou
ㄊㄡ	tou
ㄋㄡ	nou
ㄌㄡ	lou
ㄆㄡ	pou
ㄇㄡ	mou
ㄈㄡ	fou
ㄢ	an
ㄓㄢ	zhan
ㄔㄢ	chan
ㄕㄢ	shan
ㄖㄢ	ran
ㄗㄢ	zan
ㄘㄢ	can
ㄙㄢ	san
ㄍㄢ	gan
ㄎㄢ	kan
ㄏㄢ	han
ㄉㄢ	dan
ㄊㄢ	tan
ㄋㄢ	nan
ㄌㄢ	lan
ㄅㄢ	ban
ㄆㄢ	pan
ㄇㄢ	man
ㄈㄢ	fan
ㄣ	en
ㄓㄣ	zhen
ㄔㄣ	chen
ㄕㄣ	shen
ㄖㄣ	ren
ㄗㄣ	zen
ㄘㄣ	cen
ㄙㄣ	sen
ㄍㄣ	gen
ㄎㄣ	ken
ㄏㄣ	hen
ㄋㄣ	nen
ㄅㄣ	ben
ㄆㄣ	pen
ㄇㄣ	men
ㄈㄣ	fen
ㄤ	ang
ㄓㄤ	zhang
ㄔㄤ	chang
ㄕㄤ	shang
ㄖㄤ	rang
ㄗㄤ	zang
ㄘㄤ	cang
ㄙㄤ	sang
ㄍㄤ	gang
ㄎㄤ	kang
ㄏㄤ	hang
ㄉㄤ	dang
ㄊㄤ	tang
ㄋㄤ	nang
ㄌㄤ	lang
ㄅㄤ	bang
ㄆㄤ	pang
ㄇㄤ	mang
ㄈㄤ	fang
ㄓㄥ	zheng
ㄔㄥ	cheng
ㄕㄥ	sheng
ㄖㄥ	reng
ㄗㄥ	zeng
ㄘㄥ	ceng
ㄙㄥ	seng
ㄍㄥ	geng
ㄎㄥ	keng
ㄏㄥ	heng
ㄉㄥ	deng
ㄊㄥ	teng
ㄋㄥ	neng
ㄌㄥ	leng
ㄅㄥ	beng
ㄆㄥ	peng
ㄇㄥ	meng
ㄈㄥ	feng
ㄧ	yi
ㄐㄧ	ji
ㄑㄧ	qi
ㄒㄧ	xi
ㄉㄧ	di
ㄊㄧ	ti
ㄋㄧ	ni
ㄌㄧ	li
ㄅㄧ	bi
ㄆㄧ	pi
ㄇㄧ	mi
ㄨ	wu
ㄓㄨ	zhu
ㄔㄨ	chu
ㄕㄨ	shu
ㄖㄨ	ru
ㄗㄨ	zu
ㄘㄨ	cu
ㄙㄨ	su
ㄍㄨ	gu
ㄎㄨ	ku
ㄏㄨ	hu
ㄉㄨ	du
ㄊㄨ	tu
ㄋㄨ	nu
ㄌㄨ	lu
ㄅㄨ	bu
ㄆㄨ	pu
ㄇㄨ	mu
ㄈㄨ	fu
ㄩ	yu
ㄐㄩ	ju
ㄑㄩ	qu
ㄒㄩ	xu
ㄋㄩ	nv
ㄌㄩ	lv
ㄧㄚ	ya
ㄐㄧㄚ	jia
ㄑㄧㄚ	qia
ㄒㄧㄚ	xia
ㄌㄧㄚ	lia
ㄧㄝ	ye
ㄐㄧㄝ	jie
ㄑㄧㄝ	qie
ㄒㄧㄝ	xie
ㄉㄧㄝ	die
ㄊㄧㄝ	tie
ㄋㄧㄝ	nie
ㄌㄧㄝ	lie
ㄅㄧㄝ	bie
ㄆㄧㄝ	pie
ㄇㄧㄝ	mie
ㄧㄞ	yai
ㄧㄠ	yao
ㄐㄧㄠ	jiao
ㄑㄧㄠ	qiao
ㄒㄧㄠ	xiao
ㄉㄧㄠ	diao
ㄊㄧㄠ	tiao
ㄋㄧㄠ	niao
ㄌㄧㄠ	liao
ㄅㄧㄠ	biao
ㄆㄧㄠ	piao
ㄇㄧㄠ	miao
ㄧㄡ	you
ㄐㄧㄡ	jiu
ㄑㄧㄡ	qiu
ㄒㄧㄡ	xiu
ㄉㄧㄡ	diu
ㄋㄧㄡ	niu
ㄌㄧㄡ	liu
ㄇㄧㄡ	miu
ㄧㄢ	yan
ㄐㄧㄢ	jian
ㄑㄧㄢ	qian
ㄒㄧㄢ	xian
ㄉㄧㄢ	dian
ㄊㄧㄢ	tian
ㄋㄧㄢ	nian
ㄌㄧㄢ	lian
ㄅㄧㄢ	bian
ㄆㄧㄢ	pian
ㄇㄧㄢ	mian
ㄧㄣ	yin
ㄐㄧㄣ	jin
ㄑㄧㄣ	qin
ㄒㄧㄣ	xin
ㄋㄧㄣ	nin
ㄌㄧㄣ	lin
ㄅㄧㄣ	bin
ㄆㄧㄣ	pin
ㄇㄧㄣ	min
ㄧㄤ	yang
ㄐㄧㄤ	jiang
ㄑㄧㄤ	qiang
ㄒㄧㄤ	xiang
ㄋㄧㄤ	niang
ㄌㄧㄤ	liang
ㄧㄥ	ying
ㄐㄧㄥ	jing
ㄑㄧㄥ	qing
ㄒㄧㄥ	xing
ㄉㄧㄥ	ding
ㄊㄧㄥ	ting
ㄋㄧㄥ	ning
ㄌㄧㄥ	ling
ㄅㄧㄥ	bing
ㄆㄧㄥ	ping
ㄇㄧㄥ	ming
ㄨㄚ	wa
ㄓㄨㄚ	zhua
ㄔㄨㄚ	chua
ㄕㄨㄚ	shua
ㄍㄨㄚ	gua
ㄎㄨㄚ	kua
ㄏㄨㄚ	hua
 ㄨㄛ	wo
ㄓㄨㄛ	zhuo
ㄔㄨㄛ	chuo
ㄕㄨㄛ	shuo
ㄖㄨㄛ	ruo
ㄗㄨㄛ	zuo
ㄘㄨㄛ	cuo
ㄙㄨㄛ	suo
ㄍㄨㄛ	guo
ㄎㄨㄛ	kuo
ㄏㄨㄛ	huo
ㄉㄨㄛ	duo
ㄊㄨㄛ	tuo
ㄋㄨㄛ	nuo
ㄌㄨㄛ	luo
ㄨㄞ	wai
ㄓㄨㄞ	zhuai
ㄔㄨㄞ	chuai
ㄕㄨㄞ	shuai
ㄍㄨㄞ	guai
ㄎㄨㄞ	kuai
ㄏㄨㄞ	huai
ㄨㄟ	wei
ㄓㄨㄟ	zhui
ㄔㄨㄟ	chui
ㄕㄨㄟ	shui
ㄖㄨㄟ	rui
ㄗㄨㄟ	zui
ㄘㄨㄟ	cui
ㄙㄨㄟ	sui
ㄍㄨㄟ	gui
ㄎㄨㄟ	kui
ㄏㄨㄟ	hui
ㄉㄨㄟ	dui
ㄊㄨㄟ	tui
ㄨㄢ	wan
ㄓㄨㄢ	zhuan
ㄔㄨㄢ	chuan
ㄕㄨㄢ	shuan
ㄖㄨㄢ	ruan
ㄗㄨㄢ	zuan
ㄘㄨㄢ	cuan
ㄙㄨㄢ	suan
ㄍㄨㄢ	guan
ㄎㄨㄢ	kuan
ㄏㄨㄢ	huan
ㄉㄨㄢ	duan
ㄊㄨㄢ	tuan
ㄋㄨㄢ	nuan
ㄌㄨㄢ	luan
ㄨㄣ	wen
ㄓㄨㄣ	zhun
ㄔㄨㄣ	chun
ㄕㄨㄣ	shun
ㄖㄨㄣ	run
ㄗㄨㄣ	zun
ㄘㄨㄣ	cun
ㄙㄨㄣ	sun
ㄍㄨㄣ	gun
ㄎㄨㄣ	kun
ㄏㄨㄣ	hun
ㄉㄨㄣ	dun
ㄊㄨㄣ	tun
ㄌㄨㄣ	lun
ㄨㄤ	wang
ㄓㄨㄤ	zhuang
ㄔㄨㄤ	chuang
ㄕㄨㄤ	shuang
ㄍㄨㄤ	guang
ㄎㄨㄤ	kuang
ㄏㄨㄤ	huang
ㄨㄥ	weng
ㄓㄨㄥ	zhong
ㄔㄨㄥ	chong
ㄖㄨㄥ	rong
ㄗㄨㄥ	zong
ㄘㄨㄥ	cong
ㄙㄨㄥ	song
ㄍㄨㄥ	gong
ㄎㄨㄥ	kong
ㄏㄨㄥ	hong
ㄉㄨㄥ	dong
ㄊㄨㄥ	tong
ㄋㄨㄥ	nong
ㄌㄨㄥ	long
ㄩㄝ	yue
ㄐㄩㄝ	jue
ㄑㄩㄝ	que
ㄒㄩㄝ	xue
ㄋㄩㄝ	nue
ㄌㄩㄝ	lue
ㄩㄢ	yuan
ㄐㄩㄢ	juan
ㄑㄩㄢ	quan
ㄒㄩㄢ	xuan
ㄌㄩㄢ	lüan
ㄩㄣ	yun
ㄐㄩㄣ	jun
ㄑㄩㄣ	qun
ㄒㄩㄣ	xun
ㄌㄩㄣ	lün
ㄩㄥ	yong
ㄐㄩㄥ	jiong
ㄑㄩㄥ	qiong
ㄒㄩㄥ	xiong
ㄦ	er
ㄧㄛ	yo
ㄥ	eng
ㄟ	ei
ㄇㄜ	me
ㄈㄧㄠ	fiao
ㄈㄨㄥ	fong
ㄉㄧㄚ	dia
ㄉㄣ	den
ㄊㄟ	tei
ㄎㄟ	kei
ㄅㄜ	be
ㄆㄜ	pe
ㄈㄜ	fe

